x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.609271523178808 0.5528828266028928 0.6656602197547231 0.6211920529801325 0.5899888238691663 0.6523952820910986 0.6105960264900663 0.5707507047510164 0.6504413482291161 0.6278145695364239 0.5908232051820691 0.6648059338907787
10 0.7139072847682119 0.6737877318387788 0.7540268376976449 0.6860927152317882 0.6386595905179603 0.733525839945616 0.6821192052980133 0.6452465936236423 0.7189918169723842 0.680794701986755 0.6313692499151118 0.7302201540583981
20 0.7496688741721854 0.7087376499593048 0.7906000983850661 0.7152317880794701 0.664363273192923 0.7661003029660172 0.7139072847682119 0.6719182318300732 0.7558963377063506 0.6834437086092715 0.6295606738892503 0.7373267433292927
30 0.7430463576158941 0.718534098644607 0.7675586165871812 0.6966887417218544 0.6440407763858231 0.7493367070578856 0.7112582781456954 0.688996375743084 0.7335201805483068 0.7033112582781456 0.6566236907761203 0.7499988257801709
40 0.7509933774834436 0.7110930587247891 0.7908936962420982 0.7125827814569536 0.6525037434169975 0.7726618194969098 0.7245033112582782 0.6990259813752697 0.7499806411412866 0.6993377483443709 0.6503132304017968 0.748362266286945
50 0.7350993377483444 0.6929539004590799 0.7772447750376088 0.7178807947019867 0.6738024866429305 0.761959102761043 0.7377483443708609 0.7044376785696442 0.7710590101720776 0.6887417218543046 0.6504111360834761 0.7270723076251331
60 0.7456953642384107 0.7140732810958588 0.7773174473809625 0.7205298013245034 0.6689336392562055 0.7721259633928013 0.7311258278145696 0.7012877342355793 0.7609639213935598 0.6887417218543046 0.6383061383717621 0.7391773053368471
70 0.7682119205298014 0.7357683477777063 0.8006554932818964 0.7112582781456953 0.6622337602031212 0.7602827960882694 0.7099337748344372 0.6523140748764076 0.7675534747924668 0.6940397350993377 0.6369937603513693 0.751085709847306
80 0.7589403973509934 0.7266322889598663 0.7912485057421205 0.7258278145695363 0.6827559932675255 0.7688996358715471 0.6966887417218544 0.6684361205196007 0.724941362924108 0.6940397350993377 0.6399535973798796 0.7481258728187958
90 0.7668874172185431 0.7262249498463346 0.8075498845907517 0.724503311258278 0.6816868082774977 0.7673198142390584 0.7192052980132451 0.688284456874361 0.7501261391521291 0.6900662251655628 0.6234448935631295 0.7566875567679962
100 0.7735099337748343 0.7245301666566871 0.8224897008929816 0.7165562913907284 0.6798625293319336 0.7532500534495232 0.7178807947019867 0.676629373503583 0.7591322159003905 0.6980132450331127 0.6455321516393141 0.7504943384269113
110 0.7748344370860927 0.7200233597442157 0.8296455144279696 0.7205298013245034 0.6838360392657086 0.7572235633832982 0.7165562913907285 0.6820174707009131 0.7510951120805439 0.6966887417218544 0.6406120181986318 0.7527654652450769
120 0.7642384105960265 0.720660440062617 0.807816381129436 0.7298013245033113 0.6975611617360581 0.7620414872705644 0.7403973509933774 0.7163365534773709 0.764458148509384 0.704635761589404 0.6374898444734486 0.7717816787053594
130 0.7629139072847682 0.7230685855457183 0.802759229023818 0.7350993377483442 0.7182151671735336 0.7519835083231549 0.7377483443708608 0.706126261228309 0.7693704275134126 0.6993377483443708 0.6418704817220751 0.7568050149666665
140 0.7642384105960265 0.7177391001813458 0.8107377210107072 0.7271523178807946 0.7120506566212034 0.7422539791403858 0.7377483443708609 0.7031460914500315 0.7723505972916903 0.6980132450331126 0.6418974300283049 0.7541290600379202
150 0.7682119205298014 0.7328573567813534 0.8035664842782493 0.733774834437086 0.7101741328725755 0.7573755360015966 0.7430463576158941 0.7144082803835237 0.7716844348482645 0.704635761589404 0.6583728498104027 0.7508986733684053
160 0.7708609271523177 0.7485990247497063 0.7931228295549291 0.7337748344370862 0.7043810052699708 0.7631686636042017 0.7337748344370862 0.6973811081747443 0.7701685606994282 0.704635761589404 0.6545054546548992 0.7547660685239088
170 0.7562913907284767 0.7214365632663821 0.7911462181905714 0.7337748344370861 0.7036442035335699 0.7639054653406023 0.7456953642384105 0.7047106001410177 0.7866801283358034 0.6940397350993378 0.6375733145767094 0.7505061556219662
180 0.7708609271523179 0.7382152118043279 0.8035066425003079 0.7258278145695364 0.7079347601508525 0.7437208689882202 0.7377483443708609 0.7054402359797338 0.770056452761988 0.7059602649006622 0.6500401805759349 0.7618803492253895
190 0.7668874172185431 0.7419318626736202 0.7918429717634661 0.7298013245033113 0.7052890655320241 0.7543135834745984 0.7324503311258279 0.7074070590712729 0.757493603180383 0.7072847682119205 0.652194346111032 0.7623751903128091
