x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.27795000000000003 0.2717466742790661 0.28415332572093394 0.10785 0.10200138905380089 0.11369861094619911 0.10980000000000001 0.10658674619738809 0.11301325380261193 0.16015000000000001 0.14133710548586423 0.1789628945141358
10 0.4851 0.44919665753721527 0.5210033424627847 0.1528 0.14488956385526056 0.16071043614473943 0.1449 0.13594071710458924 0.15385928289541076 0.1689 0.15406275800561303 0.18373724199438696
20 0.5635999999999999 0.5417349308256296 0.5854650691743701 0.22310000000000002 0.20058847517381379 0.24561152482618626 0.24955 0.24164549179265402 0.25745450820734594 0.1722 0.16031723937798964 0.18408276062201034
30 0.6162500000000001 0.591842649672691 0.6406573503273092 0.28 0.23495800570578607 0.325041994294214 0.28735 0.2555982283958832 0.3191017716041168 0.1769 0.16613895915814833 0.18766104084185167
40 0.63825 0.6247037828158559 0.651796217184144 0.34445000000000003 0.3022935206640782 0.38660647933592185 0.31735 0.27768988149286494 0.3570101185071351 0.18505 0.17783586457016504 0.19226413542983495
50 0.65765 0.6429184437346218 0.6723815562653781 0.3843 0.3360527850544718 0.43254721494552817 0.3529 0.31767367816532643 0.38812632183467355 0.1891 0.1803936804561284 0.19780631954387157
60 0.65745 0.6447473920000655 0.6701526079999345 0.4069 0.3588643361657195 0.45493566383428047 0.3781 0.3312116352385797 0.42498836476142027 0.19024999999999997 0.18081270695591153 0.19968729304408842
70 0.6686000000000001 0.6514749087593672 0.685725091240633 0.43855000000000005 0.3959334685831895 0.4811665314168106 0.39035 0.3619320259342788 0.41876797406572114 0.19345 0.18354514008175785 0.20335485991824218
80 0.68955 0.6763977663493991 0.7027022336506009 0.45605 0.4189604125124045 0.4931395874875955 0.40374999999999994 0.36654532959425656 0.4409546704057433 0.19519999999999998 0.18456191981605702 0.20583808018394295
90 0.6956 0.6858795319042753 0.7053204680957247 0.46480000000000005 0.43098506247233337 0.4986149375276667 0.41735 0.371566678801118 0.463133321198882 0.1961 0.18373877028771005 0.20846122971228995
100 0.7061499999999998 0.6916957618671892 0.7206042381328105 0.47230000000000005 0.43906861423292737 0.5055313857670727 0.42334999999999995 0.3787351201951635 0.4679648798048364 0.19685000000000002 0.1844395709179739 0.20926042908202616
110 0.71715 0.7066193898562334 0.7276806101437665 0.4806 0.4460779961473845 0.5151220038526155 0.4332 0.3907075742043361 0.47569242579566384 0.1983 0.1873036938020079 0.2092963061979921
120 0.7173999999999999 0.7081287406464924 0.7266712593535074 0.48839999999999995 0.45213724362379487 0.524662756376205 0.42400000000000004 0.3828801294992312 0.46511987050076886 0.199 0.18685890243841194 0.21114109756158808
130 0.7161000000000001 0.6974757550488618 0.7347242449511383 0.48934999999999995 0.4584425777522615 0.5202574222477384 0.42795000000000005 0.3816927708352522 0.4742072291647479 0.19970000000000002 0.18684941635566696 0.21255058364433307
140 0.71875 0.7031735755065548 0.7343264244934452 0.49665 0.4665285790507818 0.5267714209492181 0.42455 0.38899660705361583 0.46010339294638414 0.19965000000000002 0.18655586963559628 0.21274413036440376
150 0.72585 0.7180325515671672 0.7336674484328328 0.5049 0.47144405882358115 0.5383559411764189 0.43655 0.4042074003827769 0.46889259961722307 0.20105 0.18899751063057926 0.21310248936942075
160 0.7274499999999999 0.7148275992774749 0.740072400722525 0.5084 0.47454156308982937 0.5422584369101705 0.43585 0.3916630392536441 0.48003696074635593 0.2011 0.18890676417024588 0.21329323582975412
170 0.7325999999999999 0.7210503787940902 0.7441496212059097 0.51495 0.4826238302609171 0.5472761697390829 0.43854999999999994 0.3942275310931351 0.4828724689068648 0.20270000000000002 0.19009618113427523 0.2153038188657248
180 0.7367 0.7256625637034682 0.7477374362965319 0.5126999999999999 0.4862818480964318 0.539118151903568 0.43535 0.3952261292993809 0.47547387070061914 0.20179999999999998 0.18920734340974865 0.2143926565902513
190 0.7371000000000001 0.7291635335318545 0.7450364664681457 0.5140499999999999 0.4925359057824875 0.5355640942175123 0.43550000000000005 0.3904590464132919 0.48054095358670823 0.20265 0.18884941124444324 0.21645058875555676
200 0.7388999999999999 0.7263393969093836 0.7514606030906161 0.5153500000000001 0.4804848132085888 0.5502151867914113 0.43635 0.39306980822593324 0.4796301917740668 0.20434999999999998 0.19065396955318803 0.21804603044681192
210 0.7441 0.7353204071848406 0.7528795928151594 0.5210000000000001 0.48128578654939785 0.5607142134506025 0.44375 0.39598527713887577 0.4915147228611242 0.20529999999999998 0.19078772071657935 0.21981227928342062
220 0.74055 0.7301315668164546 0.7509684331835454 0.52885 0.4903059505241081 0.567394049475892 0.4407 0.3893353720932391 0.49206462790676087 0.20655 0.18842250017239004 0.22467749982760998
230 0.7464000000000001 0.7396857427812156 0.7531142572187846 0.52935 0.4943961911946638 0.5643038088053361 0.43765 0.3906800628060884 0.48461993719391155 0.2077 0.19030082616903896 0.22509917383096104
240 0.7454000000000001 0.7349333864120243 0.7558666135879758 0.53325 0.49753804471889007 0.5689619552811099 0.44055 0.393452892870156 0.487647107129844 0.20829999999999999 0.19121437007307018 0.2253856299269298
250 0.7494500000000001 0.7430801491383237 0.7558198508616765 0.54355 0.5134743661745924 0.5736256338254075 0.43905000000000005 0.39917072906885087 0.47892927093114923 0.20865 0.1905628844201183 0.22673711557988172
260 0.7509 0.7425453605703178 0.7592546394296822 0.5433 0.5090333981842379 0.5775666018157621 0.4471 0.41157773585481916 0.48262226414518083 0.21000000000000002 0.19173545100474695 0.22826454899525309
270 0.759 0.7516728245551236 0.7663271754448764 0.5462 0.5180656126777213 0.5743343873222787 0.4439 0.4116245255650672 0.47617547443493285 0.20999999999999996 0.1914839596565572 0.22851604034344272
280 0.7519500000000001 0.7473490490113458 0.7565509509886544 0.5479 0.5151583025791271 0.580641697420873 0.4574 0.42487664300844696 0.489923356991553 0.21084999999999998 0.1928078618229435 0.22889213817705648
290 0.75295 0.7465434603724007 0.7593565396275993 0.5486000000000001 0.5132231890922883 0.5839768109077119 0.4595000000000001 0.4253079870437555 0.49369201295624465 0.21145 0.19341236573161547 0.22948763426838453
300 0.75335 0.7481250598089547 0.7585749401910452 0.5496000000000001 0.518378212735335 0.5808217872646652 0.45705000000000007 0.41789190696675854 0.4962080930332416 0.21115 0.19330290639908 0.22899709360092002
