x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.7885 0.7885 0.7885 0.7583 0.7550480774916982 0.7615519225083017 0.7637 0.7561286725074132 0.7712713274925869 0.8182 0.8093146187476282 0.8270853812523719
10 0.8234 0.8228522774424949 0.8239477225575051 0.792 0.7755379223668458 0.8084620776331543 0.7937 0.7619813146552383 0.8254186853447616 0.8221999999999999 0.8082868766985984 0.8361131233014014
20 0.8400000000000001 0.8358920808187114 0.8441079191812888 0.8108000000000001 0.7966155014188023 0.8249844985811978 0.8026 0.7836349004748195 0.8215650995251804 0.82 0.8133573348722067 0.8266426651277932
30 0.8426 0.8330973687854363 0.8521026312145638 0.8142999999999999 0.796662681609723 0.8319373183902768 0.8126 0.797289056201527 0.827910943798473 0.8227 0.8152116757548834 0.8301883242451166
40 0.8467 0.8444472239347862 0.8489527760652138 0.8193999999999999 0.8061835329985657 0.8326164670014341 0.8149999999999998 0.795564208274423 0.8344357917255767 0.819 0.8077583364220414 0.8302416635779585
50 0.8375999999999999 0.8275850112331564 0.8476149887668434 0.8208 0.8173794737247027 0.8242205262752973 0.8179000000000001 0.8045050382605997 0.8312949617394004 0.8199 0.8138750518674431 0.8259249481325568
60 0.8442000000000001 0.8358738364176531 0.852526163582347 0.8208 0.8099914385786082 0.8316085614213917 0.8289 0.8220864106375567 0.8357135893624432 0.8196 0.8126591787229464 0.8265408212770536
70 0.8417 0.8379483337035393 0.8454516662964607 0.8244 0.8188614983975807 0.8299385016024193 0.8322 0.8283986844382504 0.8360013155617497 0.8201 0.8140336996447588 0.8261663003552413
80 0.8413 0.83688978458576 0.8457102154142401 0.8262 0.8191413174033677 0.8332586825966324 0.8331999999999999 0.8234878941521417 0.8429121058478581 0.8225999999999999 0.8185164966021807 0.826683503397819
90 0.8398 0.8337729775178783 0.8458270224821217 0.8248999999999999 0.8207557268429794 0.8290442731570203 0.8358000000000001 0.8253620883314717 0.8462379116685285 0.821 0.8147150974550117 0.8272849025449882
100 0.8423 0.8364626204509216 0.8481373795490785 0.8240000000000001 0.8121467304088703 0.8358532695911298 0.8343999999999999 0.8200064250444858 0.848793574955514 0.8196 0.8166335206051617 0.8225664793948383
110 0.842 0.8326258333703737 0.8513741666296263 0.8279 0.8184898990441123 0.8373101009558876 0.8392999999999999 0.8326422976936483 0.8459577023063516 0.8205 0.8160278640450004 0.8249721359549996
120 0.8414999999999999 0.8342629425869348 0.848737057413065 0.8219999999999998 0.811894308534296 0.8321056914657037 0.8416 0.8378019741970334 0.8453980258029666 0.8166 0.8112802255686918 0.8219197744313081
130 0.8465999999999999 0.8447493244476677 0.8484506755523321 0.8233 0.8165213570679671 0.8300786429320329 0.8417 0.8378822781662358 0.8455177218337642 0.8191 0.8106265119342742 0.827573488065726
140 0.8452999999999999 0.8416668195750829 0.8489331804249169 0.8257999999999999 0.8176177020342692 0.8339822979657305 0.8431 0.8349192298651044 0.8512807701348956 0.8153 0.8026429861341626 0.8279570138658374
150 0.8462999999999999 0.8421376689223464 0.8504623310776535 0.8201 0.8067097050069837 0.8334902949930164 0.8451000000000001 0.8392540612387744 0.8509459387612257 0.8197000000000001 0.8125445824720008 0.8268554175279994
160 0.8474999999999999 0.8404024652167107 0.8545975347832891 0.8225 0.8099202543745909 0.8350797456254091 0.8448 0.8390272190410514 0.8505727809589486 0.8198000000000001 0.8139948298905201 0.8256051701094801
170 0.8451000000000001 0.838462982597582 0.8517370174024181 0.8215999999999999 0.8121633692453291 0.8310366307546707 0.8484999999999999 0.8424481407815448 0.854551859218455 0.8192 0.8120184263562922 0.8263815736437079
180 0.8477 0.8400547400305811 0.8553452599694189 0.8251 0.8157833482409182 0.8344166517590816 0.8471 0.839183245614521 0.855016754385479 0.8147 0.8003316319646245 0.8290683680353754
190 0.8457000000000001 0.8391178271064945 0.8522821728935057 0.8211999999999999 0.8127916707961688 0.8296083292038311 0.8471 0.8406057717933537 0.8535942282066462 0.8152999999999999 0.8031416695225042 0.8274583304774956
200 0.8475999999999999 0.8418837949651887 0.8533162050348111 0.8232999999999999 0.8155734224911672 0.8310265775088327 0.8480000000000001 0.8431652300985466 0.8528347699014536 0.8192 0.8153334770141638 0.8230665229858363
210 0.8468 0.8410816086178017 0.8525183913821983 0.8229 0.8161787649944373 0.8296212350055626 0.8474999999999999 0.8391558403658606 0.8558441596341393 0.8203000000000001 0.8148387730316349 0.8257612269683654
220 0.8513999999999999 0.8453854343465218 0.8574145656534781 0.8253999999999999 0.8153165977963783 0.8354834022036215 0.8499000000000001 0.8417268733033191 0.8580731266966811 0.817 0.8059207400969197 0.8280792599030802
230 0.8487 0.8419121431953819 0.8554878568046181 0.8204 0.8139057717933538 0.8268942282066463 0.8497 0.8407027782065796 0.8586972217934205 0.8196 0.8089557527274118 0.8302442472725882
240 0.8497 0.8436937532518219 0.8557062467481781 0.8215999999999999 0.8114671326861543 0.8317328673138454 0.8501 0.8432134188453195 0.8569865811546804 0.8172 0.8052333797586788 0.8291666202413213
250 0.8503000000000001 0.8448847437733751 0.855715256226625 0.8202999999999999 0.812508979527687 0.8280910204723129 0.8505 0.8465471529247895 0.8544528470752105 0.821 0.8145289104472275 0.8274710895527724
260 0.8493999999999999 0.8439986112896773 0.8548013887103225 0.8202 0.8088940281266934 0.8315059718733067 0.8501000000000001 0.8465048643975506 0.8536951356024496 0.8183999999999999 0.8104911442041215 0.8263088557958783
270 0.8472999999999999 0.8438431227965112 0.8507568772034887 0.8210000000000001 0.8103287770147934 0.8316712229852067 0.851 0.8464723074309313 0.8555276925690687 0.8211999999999999 0.8148793987627757 0.8275206012372242
280 0.8482 0.8439192290413992 0.8524807709586008 0.8186 0.8106046888740963 0.8265953111259037 0.8513999999999999 0.847440833421034 0.8553591665789658 0.8159000000000001 0.8012610109638679 0.8305389890361322
290 0.8501999999999998 0.8475401127843458 0.8528598872156539 0.8183 0.810003916586726 0.8265960834132741 0.8513 0.8477013891569106 0.8548986108430893 0.8160999999999999 0.8035232357102472 0.8286767642897527
300 0.8513999999999999 0.8479648871925365 0.8548351128074634 0.8155999999999999 0.8065833487369201 0.8246166512630797 0.852 0.8505422620262887 0.8534577379737113 0.8139 0.7986340247609267 0.8291659752390732
