x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.27795 0.27174667427906607 0.2841533257209339 0.28025 0.27537339769921726 0.28512660230078274 0.2773 0.2663592504827137 0.2882407495172863 0.3932 0.37732214592585006 0.4090778540741499
10 0.4851 0.44919665753721527 0.5210033424627847 0.46224999999999994 0.4488324275668062 0.4756675724331937 0.45165000000000005 0.4231606379502805 0.4801393620497196 0.51375 0.4892602062074831 0.538239793792517
20 0.5636 0.5417349308256297 0.5854650691743702 0.5316000000000001 0.5127580587518166 0.5504419412481836 0.5320499999999999 0.48958185016980366 0.5745181498301961 0.5294 0.5187396177366851 0.5400603822633149
30 0.6162500000000001 0.5918426496726908 0.6406573503273093 0.55735 0.5477394589122152 0.5669605410877848 0.57025 0.5358366123434499 0.6046633876565501 0.54835 0.5240764289812974 0.5726235710187026
40 0.63825 0.6247037828158559 0.651796217184144 0.56645 0.545124106114866 0.5877758938851341 0.5942 0.5844014031616765 0.6039985968383234 0.5499 0.5259791670295536 0.5738208329704465
50 0.65765 0.6429184437346219 0.672381556265378 0.5872999999999999 0.55278170774792 0.6218182922520799 0.60825 0.5862152263456145 0.6302847736543854 0.558 0.5398711211047126 0.5761288788952875
60 0.6574500000000001 0.6447473920000656 0.6701526079999346 0.5880000000000001 0.561893846510832 0.6141061534891682 0.6198499999999999 0.6035456677536305 0.6361543322463693 0.5640000000000001 0.549638593383655 0.5783614066163452
70 0.6686 0.6514749087593671 0.6857250912406329 0.59325 0.5633548707980716 0.6231451292019285 0.62375 0.6068856515097677 0.6406143484902324 0.577 0.5557875331467554 0.5982124668532445
80 0.68955 0.6763977663493991 0.7027022336506009 0.5992 0.5695123552635107 0.6288876447364892 0.63245 0.6075267427891136 0.6573732572108864 0.5765499999999999 0.5540490277987816 0.5990509722012182
90 0.6956 0.6858795319042753 0.7053204680957247 0.61365 0.591798512636436 0.635501487363564 0.63425 0.6123182878005387 0.6561817121994613 0.5846 0.564185850495306 0.605014149504694
100 0.7061499999999998 0.6916957618671892 0.7206042381328105 0.62705 0.6011883488539498 0.6529116511460502 0.64135 0.6211598105506659 0.661540189449334 0.59005 0.5767066964360396 0.6033933035639604
110 0.71715 0.7066193898562333 0.7276806101437666 0.63415 0.6233570624943902 0.6449429375056098 0.64645 0.6303571056052678 0.6625428943947321 0.58845 0.5719827977482512 0.6049172022517488
120 0.7173999999999999 0.7081287406464924 0.7266712593535074 0.6282500000000001 0.6097314282408174 0.6467685717591828 0.6547999999999999 0.643333472626815 0.6662665273731849 0.591 0.57550302448863 0.6064969755113699
130 0.7161 0.6974757550488617 0.7347242449511382 0.63685 0.6176588562091782 0.6560411437908219 0.65675 0.6485741972871161 0.6649258027128838 0.5913 0.5777798761100351 0.604820123889965
140 0.71875 0.7031735755065548 0.7343264244934452 0.6361 0.613859412103094 0.658340587896906 0.6582000000000001 0.649539024304387 0.6668609756956132 0.592 0.5718033109149049 0.6121966890850951
150 0.72585 0.7180325515671672 0.7336674484328328 0.63505 0.6116804150657312 0.6584195849342688 0.66435 0.6598271413906689 0.6688728586093311 0.596 0.5749933046387586 0.6170066953612413
